campaign_id,candidate_id,signal_time,entry_time,elapsed_seconds,intended_entry_price,actual_entry_price,move_from_intended_entry_r,structure_valid_at_entry,final_action,regime_at_signal,regime_at_entry,regime_changed,lifecycle_state_at_signal,lifecycle_state_at_entry,lifecycle_changed,location_at_signal,location_at_entry,exhaustion_state_at_signal,exhaustion_state_at_entry,timing_state_at_signal,timing_state_at_entry,htf_state_at_signal,htf_state_at_entry,structure_state_at_signal,structure_state_at_entry,pressure_state_at_signal,pressure_state_at_entry,final_arbiter_location,final_arbiter_pressure,final_arbiter_exhaustion_pct,final_arbiter_decision,learned_trend_health,learned_pullback_completion_pct,learned_continuation_pct,learned_trap_risk_pct,learned_liquidity_sweep,learned_breakout_acceptance,entry_timing_classification,data_source
CAMP-37,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.06.02_22:30:00|CORE|BUY|EVIDENCE=1537,1538,1539",2026.06.02 22:30:00,2026.06.02 22:33:00,180.0,4489.76,4488.11,0.0,true,ENTER_NOW,TREND_DN,TREND_DN,False,TREND_MATURE,TREND_MATURE,False,LOCATION_EXCELLENT,,EXHAUSTION_HIGH,,TIMING_WAIT_RECLAIM,,HTF_NEUTRAL,,STRUCTURE_SUPPORTS,,BUY_PRESSURE_STRONG,,LOCATION_EXCELLENT,BUY_PRESSURE_STRONG,69%,ALLOW,NEUTRAL,25,45,40,UNKNOWN,UNCONFIRMED,GOOD_TIMING_NEAR_SIGNAL_PRICE,EXACT_JOURNAL
CAMP-38,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.06.03_01:30:00|CORE|BUY|EVIDENCE=1543,1544,1545",2026.06.03 01:30:00,2026.06.03 01:33:00,180.0,4490.26,4491.17,0.061,true,ENTER_NOW,TREND_DN,TREND_DN,False,OPPOSITE_DIRECTION_FORMING,OPPOSITE_DIRECTION_FORMING,False,LOCATION_RESET_PENDING,,EXHAUSTION_RESET_CONFIRMED,,TIMING_WAIT_CONFIRMATION,,HTF_TRANSITIONING,,STRUCTURE_SUPPORTS,,PRESSURE_TRANSITIONING,,LOCATION_RESET_PENDING,PRESSURE_TRANSITIONING,73%,ALLOW,NEUTRAL,25,30,20,UNKNOWN,UNCONFIRMED,MODERATE_DRIFT_DURING_TIMER,EXACT_JOURNAL
CAMP-39,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.06.03_03:00:00|CORE|BUY|EVIDENCE=1552,1553,1554",2026.06.03 03:00:30,2026.06.03 03:03:30,180.0,4476.54,4478.91,0.112,true,ENTER_NOW,TREND_DN,TREND_DN,False,,OPPOSITE_DIRECTION_FORMING,False,LOCATION_RESET_PENDING,,EXHAUSTION_RESET_CONFIRMED,,TIMING_WAIT_CONFIRMATION,,HTF_NEUTRAL,,STRUCTURE_SUPPORTS,,BUY_PRESSURE_STRONG,,LOCATION_RESET_PENDING,BUY_PRESSURE_STRONG,85%,ALLOW,NEUTRAL,25,30,60,UNKNOWN,UNCONFIRMED,MODERATE_DRIFT_DURING_TIMER,EXACT_JOURNAL
CAMP-40,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.06.03_05:00:00|CORE|BUY|EVIDENCE=1564,1565,1566",2026.06.03 05:00:30,2026.06.03 05:03:30,180.0,4474.42,4474.11,0.0,true,ENTER_NOW,TREND_DN,TREND_DN,False,,OPPOSITE_DIRECTION_CONFIRMED,False,LOCATION_RESET_PENDING,LOCATION_RESET_PENDING,EXHAUSTION_RESET_CONFIRMED,EXHAUSTION_RESET_CONFIRMED,TIMING_WAIT_CONFIRMATION,TIMING_WAIT_CONFIRMATION,HTF_NEUTRAL,HTF_NEUTRAL,STRUCTURE_SUPPORTS,STRUCTURE_SUPPORTS,BUY_PRESSURE_STRONG,BUY_PRESSURE_STRONG,LOCATION_RESET_PENDING,BUY_PRESSURE_STRONG,93%,ALLOW,NEUTRAL,25,60,40,UNKNOWN,UNCONFIRMED,GOOD_TIMING_NEAR_SIGNAL_PRICE,EXACT_JOURNAL
CAMP-41,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.06.03_05:30:00|CORE|BUY|EVIDENCE=1567,1568,1569",2026.06.03 05:30:30,2026.06.03 05:33:30,180.0,4478.0,4476.86,0.0,true,ENTER_NOW,TREND_DN,TREND_DN,False,,OPPOSITE_DIRECTION_FORMING,False,LOCATION_RESET_PENDING,,EXHAUSTION_RESET_CONFIRMED,,TIMING_WAIT_PULLBACK,,HTF_NEUTRAL,,STRUCTURE_SUPPORTS,,BUY_PRESSURE_STRONG,,LOCATION_RESET_PENDING,BUY_PRESSURE_STRONG,95%,ALLOW,NEUTRAL,25,30,40,UNKNOWN,UNCONFIRMED,GOOD_TIMING_NEAR_SIGNAL_PRICE,EXACT_JOURNAL
CAMP-42,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.06.04_04:00:00|CORE|SELL|EVIDENCE=1690,1691,1692",2026.06.04 04:00:30,2026.06.04 04:03:30,180.0,4445.52,4454.88,0.0,true,ENTER_NOW,TREND_DN,TREND_DN,False,,,False,LOCATION_EXCELLENT,LOCATION_EXCELLENT,EXHAUSTION_HIGH,EXHAUSTION_HIGH,TIMING_WAIT_PULLBACK,TIMING_WAIT_PULLBACK,HTF_ALIGNED,HTF_ALIGNED,STRUCTURE_STRONGLY_SUPPORTS,STRUCTURE_STRONGLY_SUPPORTS,SELL_PRESSURE_MODERATE,SELL_PRESSURE_MODERATE,LOCATION_EXCELLENT,SELL_PRESSURE_MODERATE,65%,ALLOW,ALIGNED,25,30,0,UNKNOWN,UNCONFIRMED,GOOD_TIMING_NEAR_SIGNAL_PRICE,EXACT_JOURNAL
CAMP-43,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.06.04_17:30:00|CORE|SELL|EVIDENCE=1771,1772,1773",2026.06.04 17:30:30,2026.06.04 17:33:00,150.0,4484.24,4482.68,0.059,true,ENTER_NOW,TREND_UP,TREND_UP,False,,OPPOSITE_DIRECTION_FORMING,False,LOCATION_RESET_PENDING,,EXHAUSTION_RESET_CONFIRMED,,TIMING_WAIT_CONFIRMATION,,HTF_TRANSITIONING,,STRUCTURE_OPPOSES,,PRESSURE_TRANSITIONING,,LOCATION_RESET_PENDING,PRESSURE_TRANSITIONING,88%,ALLOW,ALIGNED,80,45,20,UNKNOWN,ACCEPTED,MODERATE_DRIFT_DURING_TIMER,EXACT_JOURNAL
CAMP-44,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.06.04_19:30:00|CORE|BUY|EVIDENCE=1783,1784,1785",2026.06.04 19:30:30,2026.06.04 19:33:30,180.0,4483.59,4480.7,0.0,true,ENTER_NOW,TREND_UP,TREND_UP,False,,,False,LOCATION_GOOD,LOCATION_GOOD,EXHAUSTION_MODERATE,EXHAUSTION_MODERATE,TIMING_READY,TIMING_READY,HTF_CONFLICT,HTF_CONFLICT,STRUCTURE_SUPPORTS,STRUCTURE_SUPPORTS,BUY_PRESSURE_STRONG,BUY_PRESSURE_STRONG,LOCATION_GOOD,BUY_PRESSURE_STRONG,53%,ALLOW,OPPOSED,80,60,0,UNKNOWN,ACCEPTED,GOOD_TIMING_NEAR_SIGNAL_PRICE,EXACT_JOURNAL
CAMP-45,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.06.05_15:30:00|CORE|SELL|EVIDENCE=1891,1892,1893",2026.06.05 15:30:11,2026.06.05 15:32:41,150.0,4451.2,4452.74,0.0,true,ENTER_NOW,TREND_DN,TREND_DN,False,,TRANSITION_NEUTRAL,False,LOCATION_RESET_PENDING,,EXHAUSTION_RESET_CONFIRMED,,TIMING_WAIT_PULLBACK,,HTF_TRANSITIONING,,STRUCTURE_SUPPORTS,,PRESSURE_TRANSITIONING,,LOCATION_RESET_PENDING,PRESSURE_TRANSITIONING,86%,ALLOW,ALIGNED,80,45,0,UNKNOWN,ACCEPTED,GOOD_TIMING_NEAR_SIGNAL_PRICE,EXACT_JOURNAL
CAMP-46,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.06.08_17:30:00|CORE|SELL|EVIDENCE=2017,2018,2019",2026.06.08 17:30:30,2026.06.08 17:33:00,150.0,4321.15,4323.1,0.0,true,ENTER_NOW,TREND_DN,TREND_DN,False,,,False,LOCATION_LATE,,EXHAUSTION_RESET_CONFIRMED,,TIMING_WAIT_CONFIRMATION,,HTF_TRANSITIONING,,STRUCTURE_SUPPORTS,,PRESSURE_TRANSITIONING,,LOCATION_LATE,PRESSURE_TRANSITIONING,67%,ALLOW,ALIGNED,80,45,0,UNKNOWN,ACCEPTED,GOOD_TIMING_NEAR_SIGNAL_PRICE,EXACT_JOURNAL
