position_id,entry_time,close_time,trade_role,setup,direction,grade,session,thesis_action,risk_usd,peak_profit_usd,peak_r,final_pnl_usd,realized_r,exit_reason,quarantine,review_note
116,2026-05-29 02:42:35,2026-05-29 03:16:46,CORE,M10_ORIGINATED_CANDIDATE,SELL,B,ASIA,OPPOSITE_DISCOVERY,1129.37,132.87,0.11764966308649957,-1136.49,-1.0063043997981176,BROKER_SL | bestFloating=132.87 shieldArmed=N,False,
120,2026-05-29 16:02:30,2026-05-29 17:01:49,CORE,M10_ORIGINATED_CANDIDATE,SELL,B,NY,TRANSITION_WATCH,1024.46,17.6,0.017179782519571286,-1026.08,-1.0015813208910058,BROKER_SL | bestFloating=17.60 shieldArmed=N,False,
130,2026-06-01 22:52:30,2026-06-02 01:00:00,CORE,TREND_PULLBACK,SELL,A+,LATE,ALLOW_CORE,1147.61,208.86,0.18199562569165487,-6398.67,-5.575648521710337,BROKER_SL | bestFloating=208.86 shieldArmed=N,True,QUARANTINE: -5.58R session-gap/slippage anomaly; not a normal entry-pattern loss.
134,2026-06-02 13:22:33,2026-06-02 13:58:42,CORE,M10_ORIGINATED_CANDIDATE,SELL,B,NY,OPPOSITE_DISCOVERY,535.05,33.28,0.06219979441173723,-546.56,-1.0215120082235305,BROKER_SL | bestFloating=33.28 shieldArmed=N,False,
142,2026-06-03 13:32:33,2026-06-03 16:43:02,CORE,M10_ORIGINATED_CANDIDATE,BUY,B,NY,TRANSITION_WATCH,528.08,132.4,0.250719587941221,-529.2,-1.0021208907741253,BROKER_SL | bestFloating=132.40 shieldArmed=N,False,
146,2026-06-04 19:32:33,2026-06-05 02:02:19,CORE,TREND_PULLBACK,BUY,A+,LATE,ALLOW_CORE,476.59,115.2,0.24171719926981264,-487.55,-1.0229967057638643,BROKER_SL | bestFloating=115.20 shieldArmed=N,False,
164,2026-06-10 09:52:33,2026-06-10 11:04:02,CORE,M10_ORIGINATED_CANDIDATE,BUY,A,LDN,TRANSITION_WATCH,523.45,27.82,0.05314738752507402,-527.54,-1.00781354475117,BROKER_SL | bestFloating=27.82 shieldArmed=N,False,
196,2026-06-16 12:12:33,2026-06-16 17:27:54,CORE,SQUEEZE_RELEASE,BUY,A+,LDN,ALLOW_CORE,721.47,187.5,0.25988606594868807,-722.5,-1.0014276407889449,BROKER_SL | bestFloating=187.50 shieldArmed=N,False,
204,2026-06-18 05:12:33,2026-06-18 05:57:15,CORE,TREND_PULLBACK,BUY,B,ASIA,OPPOSITE_DISCOVERY,778.83,177.48,0.2278802819614036,-779.28,-1.0005777897615653,BROKER_SL | bestFloating=177.48 shieldArmed=N,False,
210,2026-06-19 12:02:33,2026-06-19 14:01:22,CORE,M10_ORIGINATED_CANDIDATE,BUY,B,LDN,TRANSITION_WATCH,738.43,9.1,0.012323442980377287,-738.5,-1.0000947957152337,BROKER_SL | bestFloating=9.10 shieldArmed=N,False,
