log_date	device_time	source_line	runtime	event_type	message
20260722	07:12:34.099	5925	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	FINAL_ENTRY_ARBITER	FINAL_ENTRY_ARBITER source=PRIMARY signal=PASS structure=PASS timing=PASS freshness=PASS news=PASS state=PASS direction=SELL location=LOCATION_RESET_PENDING pressure=SELL_PRESSURE_MODERATE exhaustion=91% oppositePressure(BUY)=45% rewardRoomR=6.11 rewardRoomCollapsed=N operationalHalted=N m10Decision=SELL_CANDIDATE m10Contradicts=N decision=ALLOW
20260722	07:12:35.931	5933	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	EXACT_CANDIDATE_FINAL_OUTCOME	EXACT_CANDIDATE_FINAL_OUTCOME | candidateId=M10_ORIGINATED_CANDIDATE_SELL_4 | result=CANCEL_EXECUTION_NOT_CONFIRMED | executed=false | finalized=4
20260722	07:20:17.730	5973	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_SNAPSHOT_4807_PATIENT_WAIT	M10_SNAPSHOT_4807_PATIENT_WAIT | bar=2026.07.22 09:10 | indicator=EMA_FAST_M10 | handle=10 | phase=BARSCALCULATED_4807 | distinctTicks=1 | elapsedSec=0 | action=KEEP_HANDLE_DEFER_SAME_BAR
20260722	07:20:17.730	5974	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_SNAPSHOT_4807_PATIENT_WAIT	M10_SNAPSHOT_4807_PATIENT_WAIT | bar=2026.07.22 09:10 | indicator=ATR_M10 | handle=13 | phase=BARSCALCULATED_4807 | distinctTicks=1 | elapsedSec=0 | action=KEEP_HANDLE_DEFER_SAME_BAR
20260722	07:20:17.730	5975	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_SNAPSHOT_DEFERRED	M10_SNAPSHOT_DEFERRED | bar=2026.07.22 09:10 | indicator=EMA_FAST_M10 | class=WRONG_HANDLE_REPAIR_PENDING | handle=10 | BarsCalculated=-1 | requested=11 | returned=-1 | GetLastError=4807 | attempt=1 | waitedSec=0 | nextRetry=09:20:18 | terminal=false
20260722	07:20:18.292	5976	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_SNAPSHOT_4807_PATIENT_WAIT	M10_SNAPSHOT_4807_PATIENT_WAIT | bar=2026.07.22 09:10 | indicator=EMA_FAST_M10 | handle=10 | phase=BARSCALCULATED_4807 | distinctTicks=2 | elapsedSec=1 | action=KEEP_HANDLE_DEFER_SAME_BAR
20260722	07:20:18.292	5977	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_SNAPSHOT_4807_PATIENT_WAIT	M10_SNAPSHOT_4807_PATIENT_WAIT | bar=2026.07.22 09:10 | indicator=ATR_M10 | handle=13 | phase=BARSCALCULATED_4807 | distinctTicks=2 | elapsedSec=1 | action=KEEP_HANDLE_DEFER_SAME_BAR
20260722	07:20:18.292	5978	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_SNAPSHOT_DEFERRED	M10_SNAPSHOT_DEFERRED | bar=2026.07.22 09:10 | indicator=EMA_FAST_M10 | class=WRONG_HANDLE_REPAIR_PENDING | handle=10 | BarsCalculated=-1 | requested=11 | returned=-1 | GetLastError=4807 | attempt=2 | waitedSec=1 | nextRetry=09:20:19 | terminal=false
20260722	07:20:18.990	5979	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_SNAPSHOT_HANDLE_RECREATE	M10_SNAPSHOT_HANDLE_RECREATE | bar=2026.07.22 09:10 | indicator=EMA_FAST_M10 | oldHandle=10 | result=OK | generation=6 | createError=4807
20260722	07:20:18.990	5980	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_SNAPSHOT_WRONG_HANDLE_RECOVERY	M10_SNAPSHOT_WRONG_HANDLE_RECOVERY | bar=2026.07.22 09:10 | indicator=EMA_FAST_M10 | observedHandle=10 | phase=BARSCALCULATED_4807_PERSISTED | rebuild=OK | rebuildAttempt=1/2
