direction,effectiveRiskUSD,entry,lots,originalOneRDistance,originalRiskUSD,originalStructuralSL,ownerExitProfile,positionId,ticket,ts
BUY,651.30,4309.34000,0.74,8.80140,651.30,4300.53860,GENERAL,252,252,
BUY,669.95,4313.84000,0.64,10.46790,669.95,4303.37210,GENERAL,254,254,
BUY,683.70,4325.10000,0.30,22.79010,683.70,4302.30990,GENERAL,256,256,
BUY,699.12,4329.52000,0.36,19.41990,699.12,4310.10010,GENERAL,258,258,
BUY,720.99,4333.63000,0.59,12.22020,720.99,4321.40980,GENERAL,260,260,
BUY,740.31,4341.06000,0.35,21.15176,740.31,4319.90824,GENERAL,262,262,
BUY,769.13,4347.39000,1.10,6.99206,769.13,4340.39794,GENERAL,264,264,
SELL,690.46,4335.39000,0.28,24.65936,690.46,4360.04936,GENERAL,266,266,
BUY,710.16,4337.71000,0.35,20.29037,710.16,4317.41963,GENERAL,268,268,
BUY,725.41,4342.42000,0.28,25.90753,725.41,4316.51247,GENERAL,270,270,
BUY,766.82,4280.39000,0.29,26.44217,766.82,4253.94783,GENERAL,272,272,
BUY,787.68,4319.43000,0.47,16.75924,787.68,4302.67076,GENERAL,274,274,
SELL,812.51,4307.41000,0.37,21.95961,812.51,4329.36961,GENERAL,276,276,
SELL,822.80,4303.71000,0.31,26.54194,822.80,4330.25194,GENERAL,278,278,
SELL,852.54,4291.97000,0.38,22.43533,852.54,4314.40533,GENERAL,280,280,
SELL,853.71,4288.92000,0.33,25.87007,853.71,4314.79007,GENERAL,282,282,
SELL,881.12,4247.67000,0.28,31.46859,881.12,4279.13859,GENERAL,284,284,
SELL,900.20,4148.28000,0.38,23.68941,900.20,4171.96941,GENERAL,286,286,
BUY,802.07,4152.05000,0.63,12.73127,802.07,4139.31873,GENERAL,288,288,
BUY,810.03,4167.38000,0.21,38.57271,810.03,4128.80729,GENERAL,290,290,
BUY,914.28,4198.28000,0.12,76.19001,914.28,4122.08999,GENERAL,292,292,
SELL,828.24,4132.59000,0.56,14.79000,828.24,4147.38000,GENERAL,294,294,
SELL,849.63,4121.99000,0.59,14.40047,849.63,4136.39047,GENERAL,296,296,
SELL,886.49,4122.61000,0.65,13.63834,886.49,4136.24834,GENERAL,298,298,
SELL,904.35,3979.17000,0.96,9.42030,904.35,3988.59030,GENERAL,300,300,
SELL,929.90,4007.47000,0.27,34.44081,929.90,4041.91081,GENERAL,302,302,
BUY,835.68,4003.42000,0.58,14.40831,835.68,3989.01169,GENERAL,304,304,
BUY,874.04,4006.02000,0.50,17.48087,874.04,3988.53913,GENERAL,306,306,
BUY,903.33,4011.51000,0.69,13.09166,903.33,3998.41834,GENERAL,308,308,
BUY,946.99,4017.58000,0.65,14.56903,946.99,4003.01097,GENERAL,310,310,
BUY,982.87,4026.65000,0.37,26.56397,982.87,4000.08603,GENERAL,312,312,
SELL,997.74,4060.67000,0.32,31.17951,997.74,4091.84951,GENERAL,314,314,
SELL,1038.05,4016.73000,0.76,13.65857,1038.05,4030.38857,GENERAL,316,316,
SELL,1033.82,4018.53000,0.44,23.49604,1033.82,4042.02604,GENERAL,318,318,
SELL,1068.03,4015.38000,0.39,27.38546,1068.03,4042.76546,GENERAL,320,320,
SELL,952.11,4035.92000,0.27,35.26350,952.11,4071.18350,GENERAL,322,322,
SELL,983.93,4029.64000,0.23,42.77970,983.93,4072.41970,GENERAL,324,324,
SELL,1006.96,4006.41000,1.20,8.39134,1006.96,4014.80134,GENERAL,326,326,
SELL,1048.92,4003.07000,1.17,8.96507,1048.92,4012.03507,GENERAL,328,328,
SELL,1107.64,3976.87000,0.72,15.38391,1107.64,3992.25391,GENERAL,330,330,
SELL,1135.47,4073.08000,0.71,15.99249,1135.47,4089.07249,GENERAL,332,332,
SELL,1154.97,4070.09000,0.60,19.24954,1154.97,4089.33954,GENERAL,334,334,
BUY,1192.42,4050.52000,0.73,16.33449,1192.42,4034.18551,GENERAL,336,336,
BUY,1209.79,4052.22000,0.81,14.93571,1209.79,4037.28429,GENERAL,338,338,
BUY,1238.53,4065.29000,0.93,13.31747,1238.53,4051.97253,GENERAL,340,340,
BUY,1297.10,4071.19000,0.64,20.26723,1297.10,4050.92277,GENERAL,342,342,
SELL,1339.27,4175.06000,0.88,15.21904,1339.27,4190.27904,GENERAL,344,344,
SELL,1356.84,4167.94000,0.77,17.62127,1356.84,4185.56127,GENERAL,346,346,
BUY,1398.96,4161.87000,1.00,13.98956,1398.96,4147.88044,GENERAL,348,348,
BUY,1260.69,4152.91000,0.61,20.66709,1260.69,4132.24291,GENERAL,350,350,
SELL,1282.21,4155.98000,1.09,11.76339,1282.21,4167.74339,GENERAL,352,352,
SELL,1313.04,4160.25000,1.99,6.59824,1313.04,4166.84824,GENERAL,354,354,
BUY,1358.18,4115.23000,0.55,24.69407,1358.18,4090.53593,GENERAL,356,356,
BUY,1388.97,4127.22000,0.77,18.03857,1388.97,4109.18143,GENERAL,358,358,
SELL,1418.93,4126.60000,1.44,9.85371,1418.93,4136.45371,GENERAL,360,360,
SELL,1445.12,4125.44000,1.33,10.86561,1445.12,4136.30561,GENERAL,362,362,
SELL,1513.74,4118.63000,1.32,11.46771,1513.74,4130.09771,GENERAL,364,364,
BUY,1573.78,4064.86000,0.53,29.69396,1573.78,4035.16604,GENERAL,366,366,
SELL,1625.83,4077.10000,0.89,18.26769,1625.83,4095.36769,GENERAL,368,368,
SELL,1657.10,4071.02000,1.58,10.48800,1657.10,4081.50800,GENERAL,370,370,
SELL,1480.51,4066.36000,0.71,20.85223,1480.51,4087.21223,GENERAL,372,372,
SELL,1539.84,4123.10000,0.82,18.77846,1539.84,4141.87846,GENERAL,374,374,
SELL,1564.39,4067.25000,1.30,12.03381,1564.39,4079.28381,GENERAL,376,376,
SELL,1718.56,4061.87000,0.92,18.67997,1718.56,4080.54997,GENERAL,378,378,
SELL,1764.74,4019.62000,1.34,13.16966,1764.74,4032.78966,GENERAL,380,380,
SELL,1800.33,4020.15000,1.43,12.58971,1800.33,4032.73971,GENERAL,382,382,
SELL,1860.94,4015.23000,1.56,11.92907,1860.94,4027.15907,GENERAL,384,384,
SELL,1653.19,4064.08000,0.36,45.92194,1653.19,4110.00194,GENERAL,386,386,
BUY,1719.05,4053.20000,1.94,8.86110,1719.05,4044.33890,GENERAL,388,388,
BUY,1750.39,4056.73000,2.30,7.61040,1750.39,4049.11960,GENERAL,390,390,
BUY,1778.84,4058.18000,1.88,9.46187,1778.84,4048.71813,GENERAL,392,392,
BUY,1810.39,4038.37000,1.46,12.39986,1810.39,4025.97014,GENERAL,394,394,
BUY,1634.45,4032.45000,1.22,13.39710,1634.45,4019.05290,GENERAL,396,396,
BUY,1461.47,4029.15000,0.95,15.38391,1461.47,4013.76609,GENERAL,398,398,
BUY,1494.48,4028.40000,1.04,14.37000,1494.48,4014.03000,GENERAL,400,400,
BUY,1514.42,4032.65000,1.98,7.64863,1514.42,4025.00137,GENERAL,402,402,
BUY,1616.61,4040.60000,0.94,17.19801,1616.61,4023.40199,GENERAL,404,404,
BUY,1653.22,4060.18000,0.54,30.61509,1653.22,4029.56491,GENERAL,406,406,
BUY,1500.67,4030.06000,1.57,9.55843,1500.67,4020.50157,GENERAL,408,408,
BUY,1551.78,4033.18000,1.17,13.26313,1551.78,4019.91687,GENERAL,410,410,
BUY,1588.09,4040.98000,0.64,24.81394,1588.09,4016.16606,GENERAL,412,412,
BUY,1428.22,4023.88000,0.96,14.87734,1428.22,4009.00266,GENERAL,414,414,
SELL,1283.13,3980.87000,1.04,12.33784,1283.13,3993.20784,GENERAL,416,416,
SELL,1302.28,3992.05000,1.40,9.30201,1302.28,4001.35201,GENERAL,418,418,
