position_id,campaign_id,leg_role,entry_source_path,direction,entry_time,entry_regime,frozen_owner_exit_profile,entry_price,original_sl,risk_distance,risk_usd,exit_time,exit_price,exit_authority,realized_profit_usd,realized_r_at_exit,peak_r_while_open,period_membership,total_favorable_r_at_5m,missed_r_5m,maximum_adverse_r_after_exit_5m,returned_to_entry_5m,crossed_original_sl_5m,path_classification_5m,observed_through_5m,total_favorable_r_at_10m,missed_r_10m,maximum_adverse_r_after_exit_10m,returned_to_entry_10m,crossed_original_sl_10m,path_classification_10m,observed_through_10m,total_favorable_r_at_15m,missed_r_15m,maximum_adverse_r_after_exit_15m,returned_to_entry_15m,crossed_original_sl_15m,path_classification_15m,observed_through_15m,total_favorable_r_at_20m,missed_r_20m,maximum_adverse_r_after_exit_20m,returned_to_entry_20m,crossed_original_sl_20m,path_classification_20m,observed_through_20m,total_favorable_r_at_30m,missed_r_30m,maximum_adverse_r_after_exit_30m,returned_to_entry_30m,crossed_original_sl_30m,path_classification_30m,observed_through_30m,total_favorable_r_at_60m,missed_r_60m,maximum_adverse_r_after_exit_60m,returned_to_entry_60m,crossed_original_sl_60m,path_classification_60m,observed_through_60m,clean_continuation_or_immediate_reversal
22,CAMP-8,CORE,FRESH,SELL,2026.04.22 10:33:00,TREND_DN,GENERAL,4765.14,4774.86969,9.72969,924.32,2026.04.22 10:47:00,4763.15,PROFIT_CLOSE,189.05,0.204528,0.372057,FULL_90_DAYS+FIRST_60_DAYS,0.405974,0.201445,0.151084,False,False,IMMEDIATE_REVERSAL,2026.04.22 10:52:00,0.547808,0.343279,0.151084,False,False,IMMEDIATE_REVERSAL,2026.04.22 10:57:00,0.555002,0.350474,0.151084,False,False,IMMEDIATE_REVERSAL,2026.04.22 11:02:00,0.635169,0.430641,0.151084,False,False,IMMEDIATE_REVERSAL,2026.04.22 11:07:00,0.896226,0.691698,0.151084,False,False,IMMEDIATE_REVERSAL,2026.04.22 11:17:00,1.352561,1.148033,0.151084,False,False,IMMEDIATE_REVERSAL,2026.04.22 11:47:00,IMMEDIATE_REVERSAL
24,CAMP-9,CORE,FRESH,SELL,2026.04.22 11:03:30,TREND_DN,GENERAL,4759.53,4775.78571,16.25571,942.83,2026.04.22 11:32:05,4756.56,PROFIT_CLOSE,172.26,0.182705,0.340804,FULL_90_DAYS+FIRST_60_DAYS,0.463222,0.280517,0.03568,False,False,CLEAN_CONTINUATION,2026.04.22 11:37:05,0.464452,0.281747,0.03568,False,False,CLEAN_CONTINUATION,2026.04.22 11:42:05,0.464452,0.281747,0.03568,False,False,CLEAN_CONTINUATION,2026.04.22 11:47:05,0.464452,0.281747,0.03568,False,False,CLEAN_CONTINUATION,2026.04.22 11:52:05,0.464452,0.281747,0.244222,True,False,CLEAN_CONTINUATION,2026.04.22 12:02:05,0.464452,0.281747,0.340188,True,False,CLEAN_CONTINUATION,2026.04.22 12:32:05,CLEAN_CONTINUATION
26,CAMP-10,CORE,FRESH,SELL,2026.04.22 11:33:30,TREND_DN,GENERAL,4753.64,4764.80399,11.16399,960.1,2026.04.22 13:03:51,4750.49,SL_MOD:PRIMARY_EXIT_FLOOR,270.9,0.282157,0.488176,FULL_90_DAYS+FIRST_60_DAYS,0.41383,0.131673,0.160337,False,False,CLEAN_CONTINUATION,2026.04.22 13:08:51,0.689717,0.407561,0.160337,False,False,CLEAN_CONTINUATION,2026.04.22 13:13:51,0.689717,0.407561,0.290219,True,False,CLEAN_CONTINUATION,2026.04.22 13:18:51,0.689717,0.407561,0.524006,True,False,CLEAN_CONTINUATION,2026.04.22 13:23:51,0.689717,0.407561,0.55894,True,False,CLEAN_CONTINUATION,2026.04.22 13:33:50,0.689717,0.407561,0.908278,True,False,CLEAN_CONTINUATION,2026.04.22 14:03:51,CLEAN_CONTINUATION
28,CAMP-11,CORE,FRESH,SELL,2026.04.22 13:33:30,TREND_DN,GENERAL,4756.19,4764.75834,8.56834,993.92,2026.04.22 14:42:18,4752.42,SL_MOD:PRIMARY_EXIT_FLOOR,437.32,0.439994,0.667577,FULL_90_DAYS+FIRST_60_DAYS,0.923168,0.483174,0.099202,False,False,CLEAN_CONTINUATION,2026.04.22 14:47:18,0.952345,0.512351,0.124878,False,False,CLEAN_CONTINUATION,2026.04.22 14:52:18,0.952345,0.512351,0.124878,False,False,CLEAN_CONTINUATION,2026.04.22 14:57:18,0.952345,0.512351,0.39681,False,False,CLEAN_CONTINUATION,2026.04.22 15:02:18,0.952345,0.512351,0.608052,True,False,CLEAN_CONTINUATION,2026.04.22 15:12:18,1.191598,0.751604,0.902158,True,False,CLEAN_CONTINUATION,2026.04.22 15:42:18,CLEAN_CONTINUATION
30,CAMP-12,CORE,FRESH,SELL,2026.04.22 19:03:00,TREND_DN,GENERAL,4728.09,4744.12444,16.03444,1026.2,2026.04.22 21:48:04,4744.12,BROKER_SL,-1025.92,-0.999726,0.256948,FULL_90_DAYS+FIRST_60_DAYS,-0.975403,0.024323,0.338646,True,True,IMMEDIATE_REVERSAL,2026.04.22 21:53:04,-0.727811,0.271915,0.338646,True,True,IMMEDIATE_REVERSAL,2026.04.22 21:58:04,-0.704112,0.295614,0.338646,True,True,IMMEDIATE_REVERSAL,2026.04.22 22:03:04,-0.704112,0.295614,0.338646,True,True,IMMEDIATE_REVERSAL,2026.04.22 22:08:04,-0.558176,0.441549,0.338646,True,True,IMMEDIATE_REVERSAL,2026.04.22 22:18:04,-0.558176,0.441549,0.338646,True,True,IMMEDIATE_REVERSAL,2026.04.22 22:48:04,IMMEDIATE_REVERSAL
32,CAMP-13,CORE,FRESH,SELL,2026.04.23 16:33:25,TREND_DN,GENERAL,4731.01,4747.25963,16.24963,926.23,2026.04.23 16:35:20,4727.74,PROFIT_CLOSE,186.39,0.201236,0.36924,FULL_90_DAYS+FIRST_60_DAYS,0.348316,0.14708,0.272622,True,False,CLEAN_CONTINUATION,2026.04.23 16:40:20,0.348316,0.14708,0.49355,True,False,CLEAN_CONTINUATION,2026.04.23 16:45:20,0.348316,0.14708,0.669554,True,False,CLEAN_CONTINUATION,2026.04.23 16:50:20,0.348316,0.14708,0.841865,True,False,CLEAN_CONTINUATION,2026.04.23 16:55:20,0.856635,0.6554,0.841865,True,False,CLEAN_CONTINUATION,2026.04.23 17:05:20,0.856635,0.6554,0.841865,True,False,CLEAN_CONTINUATION,2026.04.23 17:35:20,CLEAN_CONTINUATION
34,CAMP-14,CORE,FRESH,SELL,2026.04.23 19:03:00,TREND_DN,GENERAL,4719.54,4746.9114,27.3714,930.63,2026.04.23 20:10:56,4711.57,SL_MOD:PRIMARY_EXIT_FLOOR,270.98,0.29118,0.499061,FULL_90_DAYS+FIRST_60_DAYS,0.372652,0.081472,0.191806,False,False,IMMEDIATE_REVERSAL,2026.04.23 20:15:56,0.542172,0.250992,0.222495,False,False,IMMEDIATE_REVERSAL,2026.04.23 20:20:56,0.542172,0.250992,0.222495,False,False,IMMEDIATE_REVERSAL,2026.04.23 20:25:56,0.560439,0.269259,0.250992,False,False,IMMEDIATE_REVERSAL,2026.04.23 20:30:56,0.98022,0.68904,0.250992,False,False,IMMEDIATE_REVERSAL,2026.04.23 20:40:56,2.010127,1.718948,0.398957,True,False,IMMEDIATE_REVERSAL,2026.04.23 21:10:56,IMMEDIATE_REVERSAL
36,CAMP-15,CORE,FRESH,BUY,2026.04.27 04:33:00,TREND_DN,GENERAL,4699.7,4687.73767,11.96233,980.91,2026.04.27 04:51:16,4703.95,SL_MOD:PRIMARY_EXIT_FLOOR,348.5,0.355283,0.511607,FULL_90_DAYS+FIRST_60_DAYS,0.565944,0.210661,0.163012,False,False,CLEAN_CONTINUATION,2026.04.27 04:56:16,0.565944,0.210661,0.331039,False,False,CLEAN_CONTINUATION,2026.04.27 05:01:16,0.591859,0.236576,0.615265,True,False,CLEAN_CONTINUATION,2026.04.27 05:06:16,0.591859,0.236576,0.644523,True,False,CLEAN_CONTINUATION,2026.04.27 05:11:16,0.715581,0.360298,0.644523,True,False,CLEAN_CONTINUATION,2026.04.27 05:21:16,1.736285,1.381002,0.644523,True,False,CLEAN_CONTINUATION,2026.04.27 05:51:16,CLEAN_CONTINUATION
38,CAMP-16,CORE,FRESH,BUY,2026.04.27 05:03:00,TREND_DN,GENERAL,4704.5,4686.73113,17.76887,1012.83,2026.04.27 05:41:01,4712.12,SL_MOD:PRIMARY_EXIT_FLOOR,434.34,0.428839,0.566158,FULL_90_DAYS+FIRST_60_DAYS,0.566158,0.137319,0.066971,False,False,CLEAN_CONTINUATION,2026.04.27 05:46:01,0.894823,0.465983,0.066971,False,False,CLEAN_CONTINUATION,2026.04.27 05:51:01,1.069285,0.640446,0.066971,False,False,CLEAN_CONTINUATION,2026.04.27 05:56:01,1.069285,0.640446,0.066971,False,False,CLEAN_CONTINUATION,2026.04.27 06:01:01,1.069285,0.640446,0.066971,False,False,CLEAN_CONTINUATION,2026.04.27 06:11:01,1.182404,0.753565,0.066971,False,False,CLEAN_CONTINUATION,2026.04.27 06:41:01,CLEAN_CONTINUATION
39,CAMP-16,PYRAMID,PYRAMID,BUY,2026.04.27 05:39:45,TREND_DN,GENERAL,4712.36,4691.59927,20.76073,1017.27,2026.04.27 05:41:04,4712.41,SL_MOD:PRIMARY_EXIT_FLOOR,2.45,0.002408,0.086702,FULL_90_DAYS+FIRST_60_DAYS,0.105969,0.103561,0.071288,True,False,CLEAN_CONTINUATION,2026.04.27 05:46:04,0.38727,0.384861,0.071288,True,False,CLEAN_CONTINUATION,2026.04.27 05:51:04,0.53659,0.534182,0.071288,True,False,CLEAN_CONTINUATION,2026.04.27 05:56:04,0.53659,0.534182,0.071288,True,False,CLEAN_CONTINUATION,2026.04.27 06:01:04,0.53659,0.534182,0.071288,True,False,CLEAN_CONTINUATION,2026.04.27 06:11:04,0.633407,0.630999,0.071288,True,False,CLEAN_CONTINUATION,2026.04.27 06:41:04,CLEAN_CONTINUATION
42,CAMP-17,CORE,FRESH,BUY,2026.04.27 06:33:00,TREND_DN,GENERAL,4719.77,4690.28274,29.48726,1061.54,2026.04.27 06:47:07,4726.88,PROFIT_CLOSE,255.96,0.241121,0.327938,FULL_90_DAYS+FIRST_60_DAYS,0.241121,0.0,0.123782,False,False,IMMEDIATE_REVERSAL,2026.04.27 06:52:05,0.241121,0.0,0.146165,False,False,IMMEDIATE_REVERSAL,2026.04.27 06:57:07,0.241121,0.0,0.146165,False,False,IMMEDIATE_REVERSAL,2026.04.27 07:02:07,0.262825,0.021704,0.146165,False,False,IMMEDIATE_REVERSAL,2026.04.27 07:07:07,0.283851,0.04273,0.146165,False,False,IMMEDIATE_REVERSAL,2026.04.27 07:17:07,0.35066,0.109539,0.146165,False,False,IMMEDIATE_REVERSAL,2026.04.27 07:47:07,IMMEDIATE_REVERSAL
43,CAMP-17,PYRAMID,PYRAMID,BUY,2026.04.27 06:35:30,TREND_DN,GENERAL,4722.2,4689.79674,32.40326,1036.91,2026.04.27 06:47:07,4726.88,PROFIT_CLOSE,149.76,0.14443,0.223434,FULL_90_DAYS+FIRST_60_DAYS,0.14443,0.0,0.112643,False,False,IMMEDIATE_REVERSAL,2026.04.27 06:52:05,0.14443,0.0,0.133011,False,False,IMMEDIATE_REVERSAL,2026.04.27 06:57:07,0.14443,0.0,0.133011,False,False,IMMEDIATE_REVERSAL,2026.04.27 07:02:07,0.164181,0.019751,0.133011,False,False,IMMEDIATE_REVERSAL,2026.04.27 07:07:07,0.183315,0.038885,0.133011,False,False,IMMEDIATE_REVERSAL,2026.04.27 07:17:07,0.244111,0.099681,0.133011,False,False,IMMEDIATE_REVERSAL,2026.04.27 07:47:07,IMMEDIATE_REVERSAL
46,CAMP-18,CORE,FRESH,SELL,2026.04.27 12:03:00,TREND_UP,TREND_UP,4706.78,4717.25154,10.47154,1099.51,2026.04.27 12:12:19,4704.54,PROFIT_CLOSE,235.2,0.213914,0.396314,FULL_90_DAYS+FIRST_60_DAYS,0.300816,0.086902,0.166165,False,False,IMMEDIATE_REVERSAL,2026.04.27 12:17:19,0.300816,0.086902,0.166165,False,False,IMMEDIATE_REVERSAL,2026.04.27 12:22:19,0.300816,0.086902,0.212958,False,False,IMMEDIATE_REVERSAL,2026.04.27 12:27:19,0.678984,0.46507,0.212958,False,False,IMMEDIATE_REVERSAL,2026.04.27 12:32:19,0.678984,0.46507,0.212958,False,False,IMMEDIATE_REVERSAL,2026.04.27 12:42:19,0.678984,0.46507,0.237787,True,False,IMMEDIATE_REVERSAL,2026.04.27 13:12:19,IMMEDIATE_REVERSAL
48,CAMP-19,CORE,FRESH,BUY,2026.04.27 18:33:00,TREND_DN,GENERAL,4679.37,4663.1064,16.2636,1122.19,2026.04.27 20:35:10,4685.93,SL_MOD:PRIMARY_EXIT_FLOOR,452.64,0.403355,0.403355,FULL_90_DAYS+FIRST_60_DAYS,0.417497,0.014142,0.364618,False,False,IMMEDIATE_REVERSAL,2026.04.27 20:40:10,0.417497,0.014142,0.364618,False,False,IMMEDIATE_REVERSAL,2026.04.27 20:45:10,0.417497,0.014142,0.364618,False,False,IMMEDIATE_REVERSAL,2026.04.27 20:50:10,0.417497,0.014142,0.364618,False,False,IMMEDIATE_REVERSAL,2026.04.27 20:55:10,0.417497,0.014142,0.373226,False,False,IMMEDIATE_REVERSAL,2026.04.27 21:05:10,0.417497,0.014142,0.42795,True,False,IMMEDIATE_REVERSAL,2026.04.27 21:35:10,IMMEDIATE_REVERSAL
50,CAMP-20,CORE,FRESH,SELL,2026.04.28 04:03:00,TREND_DN,GENERAL,4686.14,4704.92819,18.78819,1164.87,2026.04.28 05:03:43,4671.16,PROFIT_CLOSE,928.76,0.797309,1.042143,FULL_90_DAYS+FIRST_60_DAYS,0.81647,0.019161,0.304979,False,False,IMMEDIATE_REVERSAL,2026.04.28 05:08:43,0.81647,0.019161,0.37151,False,False,IMMEDIATE_REVERSAL,2026.04.28 05:13:43,0.81647,0.019161,0.469976,False,False,IMMEDIATE_REVERSAL,2026.04.28 05:18:43,0.81647,0.019161,0.469976,False,False,IMMEDIATE_REVERSAL,2026.04.28 05:23:43,0.81647,0.019161,0.469976,False,False,IMMEDIATE_REVERSAL,2026.04.28 05:33:43,1.039482,0.242173,0.469976,False,False,IMMEDIATE_REVERSAL,2026.04.28 06:03:43,IMMEDIATE_REVERSAL
51,CAMP-20,PYRAMID,PYRAMID,SELL,2026.04.28 04:53:02,TREND_DN,GENERAL,4682.05,4705.95576,23.90576,1171.38,2026.04.28 05:03:43,4671.16,PROFIT_CLOSE,533.61,0.455538,0.64796,FULL_90_DAYS+FIRST_60_DAYS,0.470597,0.015059,0.239691,False,False,IMMEDIATE_REVERSAL,2026.04.28 05:08:43,0.470597,0.015059,0.29198,False,False,IMMEDIATE_REVERSAL,2026.04.28 05:13:43,0.470597,0.015059,0.369367,False,False,IMMEDIATE_REVERSAL,2026.04.28 05:18:43,0.470597,0.015059,0.369367,False,False,IMMEDIATE_REVERSAL,2026.04.28 05:23:43,0.470597,0.015059,0.369367,False,False,IMMEDIATE_REVERSAL,2026.04.28 05:33:43,0.645869,0.190331,0.369367,False,False,IMMEDIATE_REVERSAL,2026.04.28 06:03:43,IMMEDIATE_REVERSAL
52,CAMP-20,PYRAMID,PYRAMID,SELL,2026.04.28 04:58:32,TREND_DN,GENERAL,4672.41,4707.88376,35.47376,1170.64,2026.04.28 05:03:43,4671.16,PROFIT_CLOSE,41.25,0.035237,0.16491,FULL_90_DAYS+FIRST_60_DAYS,0.045386,0.010148,0.161528,True,False,IMMEDIATE_REVERSAL,2026.04.28 05:08:43,0.045386,0.010148,0.196765,True,False,IMMEDIATE_REVERSAL,2026.04.28 05:13:43,0.045386,0.010148,0.248916,True,False,IMMEDIATE_REVERSAL,2026.04.28 05:18:43,0.045386,0.010148,0.248916,True,False,IMMEDIATE_REVERSAL,2026.04.28 05:23:43,0.045386,0.010148,0.248916,True,False,IMMEDIATE_REVERSAL,2026.04.28 05:33:43,0.163501,0.128264,0.248916,True,False,IMMEDIATE_REVERSAL,2026.04.28 06:03:43,IMMEDIATE_REVERSAL
56,CAMP-21,CORE,FRESH,SELL,2026.04.29 03:33:30,TREND_DN,GENERAL,4602.01,4612.77923,10.76923,1313.84,2026.04.29 03:50:59,4598.85,SL_MOD:PRIMARY_EXIT_FLOOR,385.52,0.293429,0.417858,FULL_90_DAYS+FIRST_60_DAYS,0.519072,0.225643,0.070571,False,False,CLEAN_CONTINUATION,2026.04.29 03:55:59,0.587787,0.294357,0.3055,True,False,CLEAN_CONTINUATION,2026.04.29 04:00:59,1.998287,1.704857,0.3055,True,False,CLEAN_CONTINUATION,2026.04.29 04:05:59,2.404073,2.110643,0.3055,True,False,CLEAN_CONTINUATION,2026.04.29 04:10:59,2.404073,2.110643,0.3055,True,False,CLEAN_CONTINUATION,2026.04.29 04:20:59,2.404073,2.110643,0.3055,True,False,CLEAN_CONTINUATION,2026.04.29 04:50:59,CLEAN_CONTINUATION
58,CAMP-22,CORE,FRESH,SELL,2026.04.29 04:33:30,TREND_DN,GENERAL,4586.07,4609.87616,23.80616,1356.95,2026.04.29 10:16:23,4581.33,PROFIT_CLOSE,270.18,0.199108,0.386034,FULL_90_DAYS+FIRST_60_DAYS,0.422159,0.223052,0.0021,False,False,CLEAN_CONTINUATION,2026.04.29 10:21:23,0.622948,0.42384,0.0021,False,False,CLEAN_CONTINUATION,2026.04.29 10:26:23,0.693098,0.49399,0.0021,False,False,CLEAN_CONTINUATION,2026.04.29 10:31:23,0.693098,0.49399,0.0021,False,False,CLEAN_CONTINUATION,2026.04.29 10:36:23,0.702759,0.503651,0.0021,False,False,CLEAN_CONTINUATION,2026.04.29 10:46:23,0.901027,0.701919,0.0021,False,False,CLEAN_CONTINUATION,2026.04.29 11:16:23,CLEAN_CONTINUATION
